"Time","instance","Value #sql count","Value #qps","Value #iops in progress","Value #cpu","Value #disk write bytes","Value #read batch latency p99","Value #exec latency p99","Value #admission wait queue length","Value #admission wait rate","Value #goroutines per cpu","Value #l0 sublevels","Value #l0 files","Value #quota used","Value #disk read bytes","Value #replica read bytes","Value #replica write bytes","Value #read keys","Value #write keys","Value #io tokens exhausted","Value #heartbeat latency p99","Value #kv used slots / total","Value #command latency p99","Value #compaction write bytes","Value #compaction read bytes","Value #write stall duratiion","Value #leaseholders","Value #memory"
2022-09-05 15:14:15,34.148.111.75:26258,857,603,0.833,0.386,154392421,3210850,5235015,0,0,0.0494,1,3,0,0,12595730,1625784,2591,992,0,14334033,0.0909,99923,130767345,137406342,0,419,2556416000
2022-09-05 15:14:30,34.148.111.75:26258,857,610,0.667,0.367,159402888,3214734,5305117,0,0,0.101,0,0,0,0,14133179,1644604,2835,998,0,14286847,0.0909,97702,133070177,139845307,0,418,2397188096
2022-09-05 15:14:45,34.148.111.75:26258,857,621,0.667,0.327,167951763,2546990,5186188,0,0,0.0688,0,0,0,0,13569799,1681581,2723,1011,0,14223932,0.0455,96237,133470319,140389025,0,419,2003423232
2022-09-05 15:15:00,34.148.111.75:26258,857,627,1,0.336,166580337,1634867,5167513,0,0,0.104,1,12,0,0,13322810,1703608,2673,1016,0,14192475,0.273,96651,123989490,130565429,0,420,1874743296
2022-09-05 15:15:15,34.148.111.75:26258,857,638,1,0.384,160014110,3100179,5219649,0,0,0.190,1,16,0,0,14715025,1737629,2880,1027,0,14113832,0.136,96873,136589569,143031590,0,421,2403274752
2022-09-05 15:15:30,34.148.111.75:26258,857,643,1,0.331,160132640,3096083,5210590,0,0,0.0969,0,0,0,0,14443704,1750887,2832,1031,0,14082375,0,95884,139563315,146416464,0,421,2176217088
2022-09-05 15:15:45,34.148.111.75:26258,857,652,1.17,0.345,160595728,3075603,5291549,0,0,0.111,0,0,0,0,13964154,1780176,2738,1042,0,14019460,0,97028,142505331,149392749,0,421,1961472000
2022-09-05 15:16:00,34.148.111.75:26258,857,656,1.17,0.321,162015712,326539,5136186,0,0,0.0794,0,0,0,0,13740476,1794781,2694,1045,0,15256780,0.0909,98520,143293574,149226768,0,421,1927585792
2022-09-05 15:16:15,34.148.111.75:26258,857,663,1.17,0.322,164287213,322650,5197235,0,0,0.0869,0,0,0,0,13377042,1821393,2620,1053,0,15214837,0.227,99392,138040036,145075269,0,421,1847209984
2022-09-05 15:16:30,34.148.111.75:26258,857,667,1.33,0.343,165887336,309991,5227564,0,0,0.0606,1,4,0,0,13185353,1832873,2586,1057,0,15193865,0.136,98711,134667314,141230324,0,421,1797349376
2022-09-05 15:16:45,34.148.111.75:26258,857,673,1.33,0.342,168192169,330857,5340878,0,0,0.0837,1,13,0,0,12814043,1854418,2512,1063,0,15141436,0.0455,97718,139307539,145713838,0,421,1740877824
2022-09-05 15:17:00,34.148.111.75:26258,857,676,1,0.326,169111778,323602,5337153,0,0,0.185,0,0,0,0,12640308,1864618,2477,1066,0,15120465,0,96966,147065296,153708801,0,421,1738403840
2022-09-05 15:17:15,34.148.111.75:26258,857,683,1,0.336,171183775,4864081,5654762,0,0,0.0550,0,0,0,0,12311445,1887529,2411,1072,0,15078522,0,99223,147784107,154604257,0,421,1696522240
2022-09-05 15:17:30,34.148.111.75:26258,857,686,0.667,0.413,172264060,4853136,5675494,0,0,0.0519,1,28,0,0,14190543,1897523,2714,1075,0,15047065,0,99664,139896664,145929227,0,421,2891759616
2022-09-05 15:17:45,34.148.111.75:26258,857,692,0.667,0.312,173851358,4860804,5752268,0,0,0.106,0,0,0,205,13828375,1915006,2643,1080,0,15005122,0.0909,98915,150017547,156124419,0,421,2587627520
